"Please Note That This Is A Working Document And Subject To Change. Approved courses may not guarantee eligibility for enrollment- this ultimately will be determined by schools/ sites.
",,,,,,,,,
This sheet is a list of all courses that have been approved as counting towards particular degree requirements. It will continue to expand as more courses are evaluated and approved.,,,,,,,,,
"If you would like to check on a course that is not yet on the sheet, please email your advisor with the course number, name, and what degree requirement(s) you wish to count it for.",,,,,,,,,
Cannot find a course? Submit the form below for a course evaluation. https://shanghai.nyu.edu/advising/academic-procedures/course-evaluation,,,,,,,,,
,,,,,,,,,
Course Number,Course Title,Credit,Major/Minor,Core,(GN) Minor,Note,Date Added,Reg Office,
"	
ART-UE 1430,Topics in Design,4,IMA Elective,,,"Topics vary from semester to semester and are chosen as a result of both faculty and student interest. Multiple  “Topics in Design” courses are offered each semester. Sample topics include: Digital Fabrication, Typography, Fashionable Technology and Wearable Computing, Interaction Design, Environmental Art & Design, Color Theory.  As a result, course approval is required by the IMA Director and the Elective Distribution Category will be determined on an individual case basis prior to student registration.",10/30/2015,11/6/2015,
ART-UE 1896,Rhino and 3D Modeling ,3,IMA New:  New Media & Entertainment.,,,,8/23/2018,8/27/2018,
ART-UE 300 ,Digital Photography I for Non Majors,4,,,Photographic Studies,Approve if students take courses for the minor at a Global Site,7/31/2020,no need to add,
ART-UE 401,Introduction to Design,4,"IMA Old: Design
IMA New: Art & Design",,,,2/3/2016,2/3/2016,
ART-UE 402,Design II for Non-Majors,4,IMA Elective: Art & Design ,,,,11/13/2017,11/14/2017,
ART-UE 501 ,Introduction to Metalsmithing,4,,,Art Studies,,3/28/2017,no need to add,
ART-UE 504,Introduction to Ceramics II,4,,,Art Studies,,3/28/2017,no need to add,
ARTCR-UE 9077,Contemporary Art & New Media,4,,China Arts (spring 2019 and before ONLY),,Equivalent to ART-SHU 9077 Contemporary Art & New Media,10/30/2015,11/6/2015,
ARTCR-UE 9077,Contemporary Art & New Media,4,Global China Studies Elective,,,Equivalent to ART-SHU 9077 Contemporary Art & New Media,10/30/2015,11/6/2015,
ARTCR-UE 9077,Contemporary Art & New Media,4,Humanities (survey),,,Equivalent to ART-SHU 9077 Contemporary Art & New Media,10/30/2015,11/6/2015,
ARTH-UA 1,History of Western Art,4,Humanities Survey,,,,10/18/2016,10/28/2016,
ARTH-UA 2 ,History of Western Art II,4,Humanities Survey,,,,4/13/2017,4/13/2017,
ARTH-UA 409,Modern Architecture: 1914 to The Present,4,Humanities Topic,,,,12/6/2017,12/7/2017,
ARTH-UA 450 ,Topic: Abex to Pop: Global Perspectives,4,Humanities Topic,,,,2/27/2017,3/1/2017,
ARTH-UA 5 ,Renaissance Art ,4,Humanities Topic,,,,10/18/2016,10/28/2016,
ARTH-UA 510,"East Asian Art I: China, Korea, Japan to 1000 Ce",4,,Chinese Arts,,,10/30/2015,11/6/2015,
ARTH-UA 510 ,"East Asian Art I: China, Korea, Japan to 1000 Ce ",4,HUMN Survey,,,,3/27/2019,3/29/2019,
ARTH-UA 511 ,"East Asian Art II: China, Korea, Japan to 1000 Ce",4,,Chinese Arts,,,11/18/2016,11/21/2016,
ARTH-UA 511 ,"East Asian Art II:China, Korea, Japan, 1000Ce-Pr",4,Humanities Survey,,,,5/22/2017,6/22/2017,
ARTH-UA 6,Modern Art,4,Humanities Topic,,,,10/18/2016,10/18/2016,
